from/to,Bielefeld,Gütersloh,Herford,Lippe,Paderborn,Minden-Lübbecke,Osnabrück,Region Hannover,Düsseldorf (S),Münster (S),Warendorf,Soest,Dortmund (S),Essen (S),Ennepe-Ruhr-Kreis,Herne (S),Gelsenkirchen (S),Recklinghausen,Duisburg (S),Mettmann,Wuppertal (S),Bochum (S),Unna,Hagen(S),Bonn(S),Rhein-Sieg-Kreis,Köln (S),Rhein-Erft-Kreis,Ahrweiler,Euskirchen,Frankfurt am Main (S),Rheinisch-Bergischer Kreis,Koblenz (S),Neuwied,Staedteregion Aachen,Mayen-Koblenz,Borken,Coesfeld,Steinfurt,Wesel,Kleve,Grafschaft Bentheim,Emsland,Bottrop (S),Oberhausen (S),Muehlheim an der Ruhr (S),Hamm (S),Maerkischer Kreis,Krefeld (S),Rhein-Kreis Neuss,Viersen,Dueren,Moenchengladbach (S),Remscheid (S),Vulkaneifel,Eifelkreis Bitburg-Prüm,Osnabrueck (S),Hochsauerlandkreis,Schaumburg,Waldeck-Frankenberg,Olpe,Siegen-Wittgenstein,Hoexter,Holzminden,Kassel,Kassel (S),Hameln-Pyrmont,Northeim,Leverkusen (S),Oberbergischer Kreis,Solingen (S),Diepholz,Nienburg,Altenkirchen,Lahn-Dill-Kreis,Marburg-Biedenkopf,Westerwaldkreis
Osnabrück (S),0,664,410,0,0,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hochsauerlandkreis,0,0,0,0,1677,0,0,0,0,0,0,4622,1157,0,0,0,0,0,0,0,0,0,840,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,2565,0,0,0,0,0,0,0,0,0,0,0,3004,1952,523,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schaumburg,0,0,623,836,0,5595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waldeck-Frankenberg,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,0,0,0,304,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olpe,0,0,0,0,0,0,0,0,136,0,0,0,178,0,0,0,0,0,0,0,0,0,0,174,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917,0,0,0,0,0,0,0,0,0,1491,0,0,0,4830,0,0,0,0,0,0,0,1247,0,0,0,195,105,0,0
Siegen-Wittgenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,516,0,0,4939,0,0,0,0,0,0,0,0,836,0,0,0,3007,3218,1655,467
Hoexter,416,278,0,3262,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,1175,0,0,0,3646,1313,696,465,0,0,0,0,0,0,0,0,0,0
Holzminden,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kassel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kassel (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hameln-Pyrmont,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leverkusen (S),0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,0,0,0,4861,603,0,0,0,0,467,13347,1099,0,0,0,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,829,0,0,0,0,0,0
Oberbergischer Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,0,0,0,2721,5616,0,0,0,0,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,0,0,0,0,0,3036,0,0,0,0,0,0,2248,1069,0,0,0,0,0,0,691,0,0,0,0,781,0,0,0
Solingen (S),0,0,0,0,0,0,0,0,4899,0,0,0,0,420,284,0,0,0,0,8041,3960,0,0,0,0,0,2258,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0
